x	cos(th)	sin(th)	v	thDot	
0.014295541	-0.9999703	0.007702072	0.0034518896	-0.002079642	
0.014318336	-0.999969	0.0078762965	-0.0007159168	-1.1462616e-05	
0.014271696	-0.9999703	0.007705989	-0.0048802514	0.00205499	
0.014225105	-0.99997157	0.007538492	-0.00071125524	-4.462338e-05	
0.014178543	-0.9999728	0.0073736506	-0.004875594	0.002022546	
0.014132029	-0.999974	0.0072115026	-0.0007066015	-7.637269e-05	
0.014154971	-0.99997264	0.007399012	0.003458918	-0.0021735688	
0.014177883	-0.9999712	0.007588833	-0.0007088941	-0.00010470398	
0.01413136	-0.99997234	0.0074340096	-0.004873235	0.0019624014	
0.014084886	-0.9999735	0.0072818925	-0.0007042443	-0.0001365994	
0.014038441	-0.99997455	0.00713233	-0.004868589	0.0019311584	
0.013992044	-0.9999756	0.0069853663	-0.0006996022	-0.00016721059	
0.014015102	-0.9999742	0.0071879714	0.0034659116	-0.0022638883	
0.01403813	-0.9999727	0.007392804	-0.0007019065	-0.00019452965	
0.013991724	-0.9999737	0.0072529125	-0.0048662527	0.0018730385	
0.013945366	-0.99997467	0.0071156523	-0.0006972683	-0.00022553628	
0.013899037	-0.9999756	0.0069808783	-0.0048616184	0.0018426222	
0.0138527565	-0.9999766	0.0068486393	-0.0006926378	-0.00025538116	
0.013806505	-0.9999774	0.0067187916	-0.004856992	0.0018133458	
0.013760301	-0.9999783	0.0065913857	-0.0006880151	-0.00028410682	
0.013783552	-0.9999768	0.0068134	0.003477489	-0.0023799082	
0.013806773	-0.99997526	0.0070374985	-0.00069033867	-0.00030970297	
0.013760559	-0.9999761	0.006916734	-0.0048546945	0.0017586718	
0.0137143945	-0.9999769	0.0067984704	-0.0006857197	-0.00033914574	
0.013668258	-0.99997765	0.0066825696	-0.00485008	0.0017297398	
0.013622169	-0.9999784	0.0065690866	-0.00068110845	-0.0003675839	
0.01357611	-0.99997914	0.006457884	-0.004845472	0.0017017918	
0.013530098	-0.99997985	0.0063490192	-0.0006765049	-0.00039505784	
0.013484115	-0.9999805	0.0062423563	-0.0048408723	0.0016747881	
0.01343818	-0.99998116	0.0061379536	-0.000671909	-0.00042160647	
0.013461699	-0.9999796	0.0063827997	0.0034935817	-0.0025163973	
0.013485189	-0.999978	0.006629565	-0.00067425944	-0.0004452168	
0.013439243	-0.99997866	0.0065313065	-0.0048386287	0.0016240859	
0.013393345	-0.9999793	0.0064354	-0.00066966726	-0.00047286088	
0.013347476	-0.9999799	0.0063417144	-0.0048340405	0.0015968591	
0.013301655	-0.99998045	0.0062503116	-0.00066508277	-0.00049968524	
0.0132558625	-0.99998105	0.006161063	-0.00482946	0.0015704327	
0.013210118	-0.9999816	0.0060740327	-0.00066050584	-0.0005257277	
0.013164401	-0.99998206	0.0059890924	-0.0048248866	0.0015447695	
0.013118733	-0.99998254	0.0059063085	-0.0006559366	-0.00055102503	
0.013073092	-0.999983	0.005825554	-0.004820321	0.0015198333	
0.013027499	-0.9999835	0.005746897	-0.000651375	-0.00057561294	
0.012981935	-0.9999839	0.0056702117	-0.0048157633	0.001495589	
0.012936418	-0.9999843	0.005595567	-0.00064682093	-0.0005995259	
0.01289093	-0.99998474	0.00552284	-0.0048112134	0.0014720025	
0.012845489	-0.99998516	0.0054521007	-0.00064227445	-0.0006227977	
0.012800076	-0.9999855	0.005383226	-0.0048066704	0.0014490405	
0.012754711	-0.9999859	0.005316288	-0.00063773553	-0.000645461	
0.012778799	-0.9999843	0.0055982913	0.0035277267	-0.0027384362	
0.012802858	-0.9999827	0.005881916	-0.0006401429	-0.0006654976	
0.01275748	-0.9999831	0.005820229	-0.004804541	0.0014054866	
0.012712151	-0.99998343	0.0057606213	-0.0006356075	-0.0006898729	
0.0126668485	-0.9999837	0.0057029747	-0.004800009	0.0013813765	
0.012621595	-0.999984	0.005647364	-0.0006310797	-0.0007137291	
0.012576369	-0.9999844	0.005593673	-0.004795485	0.0013577685	
0.012531189	-0.9999846	0.0055419765	-0.0006265595	-0.00073709956	
0.012486039	-0.9999849	0.0054921606	-0.0047909687	0.00133463	
0.012440935	-0.99998516	0.0054443027	-0.00062204676	-0.00076001685	
0.01239586	-0.99998546	0.005398288	-0.0047864597	0.0013119283	
0.012350831	-0.9999857	0.0053541963	-0.00061754155	-0.0007825128	
0.012305831	-0.9999859	0.0053119143	-0.004781958	0.001289632	
0.012260877	-0.9999861	0.0052715223	-0.00061304384	-0.00080461893	
0.0122159505	-0.9999863	0.0052329088	-0.004777464	0.0012677102	
0.012171072	-0.9999865	0.005196156	-0.00060855364	-0.00082636584	
0.012126221	-0.9999867	0.005161153	-0.004772978	0.0012461324	
0.012081417	-0.9999868	0.0051279827	-0.0006040709	-0.00084778364	
0.012036641	-0.999987	0.0050965366	-0.0047684987	0.0012248686	
0.011991912	-0.9999872	0.005066898	-0.0005995956	-0.00086890213	
0.01194721	-0.9999873	0.0050389594	-0.004764027	0.0012038895	
0.011902556	-0.9999874	0.0050128065	-0.00059512776	-0.00088975043	
0.011857928	-0.99998754	0.0049883323	-0.004759563	0.0011831659	
0.011813348	-0.99998766	0.0049656234	-0.00059066736	-0.00091035746	
